@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute class {3,4,5,8}
@data
1.7976931348623157E308,21.876499999999997,1.0493000000000003,15.537299999999997,1.7976931348623157E308,1.7976931348623157E308,0.0631,2.9263999999999997,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,14823.307600000007,77937.104,1.7976931348623157E308,139584.39560000008,1.7976931348623157E308,1.7976931348623157E308,237.0,630.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.82160000000045,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.7271,0.7919,12.106499999999999,1.7976931348623157E308,1.7976931348623157E308,0.026499999999999992,2.1154000000000006,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,18874.176999999992,171735.9811,1.7976931348623157E308,103054.33580000002,1.7976931348623157E308,1.7976931348623157E308,148.0,475.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.200000000001005,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.8656,0.7157000000000007,14.376500000000002,1.7976931348623157E308,1.7976931348623157E308,0.1175,1.9525999999999994,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,16592.5954,85098.96379999998,1.7976931348623157E308,91863.53689999996,1.7976931348623157E308,1.7976931348623157E308,436.0,935.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25.991999999999386,1835.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.9586,1.2320000000000002,14.795600000000002,1.7976931348623157E308,1.7976931348623157E308,0.08049999999999999,2.595300000000001,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,33520.939499999986,55512.52440000001,1.7976931348623157E308,120854.9247,1.7976931348623157E308,1.7976931348623157E308,590.0,1145.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25.537999999999805,1677.0,1.7976931348623157E308,731.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,20.80370000000001,1.0393999999999999,13.159600000000001,1.7976931348623157E308,1.7976931348623157E308,0.18980000000000002,2.8286000000000007,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,27055.454799999992,100728.01790000005,1.7976931348623157E308,118359.68250000001,1.7976931348623157E308,1.7976931348623157E308,640.0,1225.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25.088000000000214,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,24.285199999999996,0.37540000000000046,14.5304,1.7976931348623157E308,1.7976931348623157E308,0.029600000000000005,2.2168,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,13223.422899999998,120568.89309999999,1.7976931348623157E308,83798.7065,1.7976931348623157E308,1.7976931348623157E308,724.0,1333.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25.292300000000026,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,22.100300000000004,1.5739000000000007,14.492300000000002,1.7976931348623157E308,1.7976931348623157E308,0.10629999999999999,2.0124000000000004,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26539.057400000016,68770.82539999999,1.7976931348623157E308,98817.90119999998,1.7976931348623157E308,1.7976931348623157E308,1168.0,1925.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.10649999999928,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,20.8729,1.4732,14.1829,1.7976931348623157E308,1.7976931348623157E308,0.04239999999999999,3.123800000000001,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,18097.136399999996,78079.52869999997,1.7976931348623157E308,120445.50300000003,1.7976931348623157E308,1.7976931348623157E308,1044.0,1759.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.793199999998247,1677.0,1.7976931348623157E308,850.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,22.5533,0.7396,14.032499999999999,1.7976931348623157E308,1.7976931348623157E308,0.08979999999999995,2.0172000000000003,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,37407.342200000014,180982.1366,1.7976931348623157E308,128439.66,1.7976931348623157E308,1.7976931348623157E308,415.0,902.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,23.30649999999688,1677.0,1.7976931348623157E308,850.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.815499999999993,1.1109,14.488400000000002,1.7976931348623157E308,1.7976931348623157E308,0.12810000000000005,1.9229000000000003,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22457.957899999987,62650.607399999986,1.7976931348623157E308,77293.56689999999,1.7976931348623157E308,1.7976931348623157E308,64.0,305.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.89799999999728,1677.0,1.7976931348623157E308,850.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.125300000000006,1.8796,13.643,1.7976931348623157E308,1.7976931348623157E308,0.4213,2.6359999999999992,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,32444.082899999998,49938.42110000001,1.7976931348623157E308,104872.0024,1.7976931348623157E308,1.7976931348623157E308,0.0,77.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.471999999997678,1272.0,1.7976931348623157E308,850.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,23.370699999999996,0.47520000000000034,11.564,1.7976931348623157E308,1.7976931348623157E308,0.46300000000000013,2.6769,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,6219.0159,162863.4127,1.7976931348623157E308,113489.45079999998,1.7976931348623157E308,1.7976931348623157E308,20.0,130.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,23.052499999997117,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,22.682899999999997,0.7678999999999998,15.5488,1.7976931348623157E308,1.7976931348623157E308,0.16999999999999998,1.4327,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,20352.370499999994,83391.36379999999,1.7976931348623157E308,36616.05649999999,1.7976931348623157E308,1.7976931348623157E308,209.0,448.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.304399999996676,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.812900000000003,1.5587000000000006,15.610600000000005,1.7976931348623157E308,1.7976931348623157E308,0.15949999999999998,2.4865,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,27686.278899999998,60149.0777,1.7976931348623157E308,94788.15929999997,1.7976931348623157E308,1.7976931348623157E308,700.0,1313.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.849199999998085,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,23.230399999999996,0.5017000000000003,15.302399999999997,1.7976931348623157E308,1.7976931348623157E308,0.4008000000000001,3.3804000000000003,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,27163.945300000003,142143.9603,1.7976931348623157E308,127522.73380000007,1.7976931348623157E308,1.7976931348623157E308,440.0,945.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.04999999999809,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,22.861100000000004,0.0,12.8637,1.7976931348623157E308,1.7976931348623157E308,0.3498,1.3929000000000002,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4430.8859,165148.09249999994,1.7976931348623157E308,149228.3544,1.7976931348623157E308,1.7976931348623157E308,244.0,641.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.79149999999737,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.994599999999995,0.6881999999999998,14.1927,1.7976931348623157E308,1.7976931348623157E308,0.0387,2.1012,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25234.082899999987,69199.9813,1.7976931348623157E308,153892.56279999987,1.7976931348623157E308,1.7976931348623157E308,148.0,475.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.471999999997678,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,25.1311,0.9055,10.961200000000003,1.7976931348623157E308,1.7976931348623157E308,0.45619999999999994,3.8441999999999985,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,6512.487999999998,119772.19480000001,1.7976931348623157E308,143597.13499999998,1.7976931348623157E308,1.7976931348623157E308,113.0,0.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,19.60200000000036,594.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,26.040200000000002,0.17980000000000015,11.9364,1.7976931348623157E308,1.7976931348623157E308,0.23679999999999995,2.6940000000000004,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,20954.049200000005,138049.2561,1.7976931348623157E308,121713.38769999995,1.7976931348623157E308,1.7976931348623157E308,128.0,25.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,20.921499999999135,533.0,1.7976931348623157E308,1530.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,24.091999999999995,1.4004000000000003,19.4486,1.7976931348623157E308,1.7976931348623157E308,0.14450000000000007,3.1466,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,2023.9549999999995,163330.3239,1.7976931348623157E308,2757.1157,1.7976931348623157E308,1.7976931348623157E308,436.0,935.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.89799999999728,1025.0,1.7976931348623157E308,1210.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
1.7976931348623157E308,23.819000000000003,1.5036999999999998,16.466700000000003,1.7976931348623157E308,1.7976931348623157E308,0.1036,2.9862,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,2566.7325999999985,160713.2304,1.7976931348623157E308,3351.7398000000003,1.7976931348623157E308,1.7976931348623157E308,590.0,1145.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.471999999997678,1025.0,1.7976931348623157E308,1210.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
1.7976931348623157E308,23.201499999999996,1.3854000000000004,18.0945,1.7976931348623157E308,1.7976931348623157E308,0.02540000000000002,2.8345000000000007,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3044.763899999997,159661.4573,1.7976931348623157E308,815.9794999999998,1.7976931348623157E308,1.7976931348623157E308,731.0,1344.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,22.621099999997547,1250.0,1.7976931348623157E308,1005.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
1.7976931348623157E308,22.763400000000004,1.4664000000000004,17.090599999999995,1.7976931348623157E308,1.7976931348623157E308,0.0364,2.5325000000000006,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,5086.946699999997,140050.57349999997,1.7976931348623157E308,5967.360399999999,1.7976931348623157E308,1.7976931348623157E308,986.0,1681.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,23.07239999999761,1691.0,1.7976931348623157E308,650.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
1.7976931348623157E308,23.567999999999994,1.4298000000000008,14.945100000000002,1.7976931348623157E308,1.7976931348623157E308,0.09960000000000004,3.0297,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3318.634299999999,154714.9801,1.7976931348623157E308,2763.0263000000004,1.7976931348623157E308,1.7976931348623157E308,1856.0,2785.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.025999999997676,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
1.7976931348623157E308,23.607799999999997,1.5942000000000005,14.965999999999994,1.7976931348623157E308,1.7976931348623157E308,0.06840000000000003,2.9609000000000005,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3143.5746000000004,158909.4146,1.7976931348623157E308,1619.5201000000002,1.7976931348623157E308,1.7976931348623157E308,1448.0,2281.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,23.077199999997084,2063.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
1.7976931348623157E308,23.42899999999999,1.5908000000000007,14.662799999999999,1.7976931348623157E308,1.7976931348623157E308,0.04870000000000001,2.8344000000000014,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3409.051,154973.44069999998,1.7976931348623157E308,2636.6603999999998,1.7976931348623157E308,1.7976931348623157E308,785.0,1420.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,21.98729999999815,1873.0,1.7976931348623157E308,730.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4
